itching-(คัน),ความรุนแรงระดับ 1
skin_rash-(ผื่นผิวหนัง),ความรุนแรงระดับ 3
nodal_skin_eruptions-(การระเบิดของผื่นหนังปลายนิ้ว),ความรุนแรงระดับ 4
continuous_sneezing-(การจามต่อเนื่อง),ความรุนแรงระดับ 4
shivering-(สั่นสะเทือน),ความรุนแรงระดับ 5
chills-(หวาดระทม),ความรุนแรงระดับ 3
joint_pain-(ปวดข้อ),ความรุนแรงระดับ 3
stomach_pain-(ปวดท้อง),ความรุนแรงระดับ 5
acidity-(กรดไหลย้อน),ความรุนแรงระดับ 3
ulcers_on_tongue-(โรคกรดไหลย้อน),ความรุนแรงระดับ 4
muscle_wasting-(การสูญเสียกล้ามเนื้อ),ความรุนแรงระดับ 3
vomiting-(คลื่นไส้),ความรุนแรงระดับ 5
burning_micturition-(การปัสสาวะที่เผาไหม้),ความรุนแรงระดับ 6
spotting_urination-(การปัสสาวะที่มีจุดเลือด),ความรุนแรงระดับ 6
fatigue-(ความเหนื่อยล้า),ความรุนแรงระดับ 4
weight_gain-(เพิ่มน้ำหนัก),ความรุนแรงระดับ 3
anxiety-(ความวิตกกังวล),ความรุนแรงระดับ 4
cold_hands_and_feets-(มือและเท้าเย็น),ความรุนแรงระดับ 5
mood_swings-(อารมณ์เปลี่ยนแปลง),ความรุนแรงระดับ 3
weight_loss-(การลดน้ำหนัก),ความรุนแรงระดับ 3
restlessness-(ความไม่สงบ),ความรุนแรงระดับ 5
lethargy-(ความง่วง),ความรุนแรงระดับ 2
patches_in_throat-(จุดด่างในลำคอ),ความรุนแรงระดับ 6
irregular_sugar_level-(ระดับน้ำตาลไม่ปกติ),ความรุนแรงระดับ 5
cough-(ไอ),ความรุนแรงระดับ 4
high_fever-(ไข้สูง),ความรุนแรงระดับ 7
sunken_eyes-(ตาลุกลึก),ความรุนแรงระดับ 3
breathlessness-(หายใจไม่ออก),ความรุนแรงระดับ 4
sweating-(เหงื่อออก),ความรุนแรงระดับ 3
dehydration-(ขาดน้ำ),ความรุนแรงระดับ 4
indigestion-(ไม่ย่อยดี),ความรุนแรงระดับ 5
headache-(ปวดหัว),ความรุนแรงระดับ 3
yellowish_skin-(ผิวหนังเปลี่ยนสีเหลือง),ความรุนแรงระดับ 3
dark_urine-(ปัสสาวะเข้มสี),ความรุนแรงระดับ 4
nausea-(คลื่นไส้),ความรุนแรงระดับ 5
loss_of_appetite-(สูญเสียความอยากกิน),ความรุนแรงระดับ 4
pain_behind_the_eyes-(ปวดข้างหลังของตา),ความรุนแรงระดับ 4
back_pain-(ปวดหลัง),ความรุนแรงระดับ 3
constipation-(ท้องผูก),ความรุนแรงระดับ 4
